2017 International Subject Based Fees Fees, EFTSL values and Census Dates
ABPL30064 1 Humanitarian Design Internship November November Parkville 0.125 8‐Dec‐17 $4,708.00
ABPL70001 1 Dwelling: Architectures of Space Semester 1 Semester 1 Southbank 0.125 31‐Mar‐17 $3,800.00
ABPL70002 1 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $37,984.00
ABPL70002 1 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $37,984.00
ABPL80002 1 PhD Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $37,984.00
ABPL80002 1 PhD Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $37,984.00
ABPL90009 1 Participation and Negotiation December December Parkville 0.125 22‐Dec‐17 $4,748.00
ABPL90009 1 Participation and Negotiation July July Parkville 0.125 4‐Aug‐17 $4,748.00
ABPL90010 2 Advanced Construction Technology Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90011 1 Advanced Property Analysis Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90016 1 Asset Management Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90017 1 Urban Design Theory Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90020 3 Measured Drawings & Digital Heritage Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90022 1 Healthy Communities Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90025 2 Project Management in Practice Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90026 1 Property Development Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90027 2 Life Cycle Analysis and Sustainability Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90028 2 Project Management in Theory Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90029 1 Construction Studies September September Parkville 0.125 6‐Oct‐17 $4,748.00
ABPL90030 2 Project Evaluation Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90031 2 Corporate Real Estate Management Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90032 2 Building Services and Operations Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90034 1 Property Securitisation Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90035 2 Risk in Construction Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90036 1 Property Investment Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90038 1 International Property Development A June June Parkville 0.25 30‐Jun‐17 $9,496.00
ABPL90040 1 International Property Development B June June Parkville 0.125 30‐Jun‐17 $4,748.00
ABPL90041 1 Property Law (PG) Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90045 1 Statutory Valuation (PG) Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90048 1 Landscape Practice Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90055 1 Planning Asia Pacific Cities Studio June June Parkville 0.125 23‐Jun‐17 $4,748.00
ABPL90056 2 Sustainable Transport and Public Policy September September Parkville 0.125 6‐Oct‐17 $4,748.00
ABPL90061 1 Urban Design Studio A Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90064 1 Planning Urban Sustainability Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90065 1 Managing Global City Regions Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90066 2 MSD Research Project Short (12.5 Points) Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90066 2 MSD Research Project Short (12.5 Points) Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90067 2 MSD Thesis ‐Semester Long (25 Points) Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90067 2 MSD Thesis ‐Semester Long (25 Points) Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90072 1 Landscape Studio 5:Sustainable Urbanism Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90072 1 Landscape Studio 5:Sustainable Urbanism Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90074 1 Landscape Detail Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90075 2 Urban and Landscape Heritage September September Parkville 0.125 6‐Oct‐17 $4,748.00
