2017 International Subject Based Fees Fees, EFTSL values and Census Dates
AUST70001 1 Shorter Thesis ‐ Australian Studies RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $31,776.00
AUST70001 1 Shorter Thesis ‐ Australian Studies RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $31,776.00
AUST70002 1 Major Thesis ‐ Australian Studies RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $31,776.00
AUST70002 1 Major Thesis ‐ Australian Studies RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $31,776.00
BCMB20002 1 Biochemistry and Molecular Biology Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BCMB20002 1 Biochemistry and Molecular Biology Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BCMB20003 2 Molecular Analysis of Cell Function Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BCMB20005 1 Techniques in Molecular Science Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BCMB20005 1 Techniques in Molecular Science Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BCMB20006 1 Biochemistry in Agricultural Systems Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BCMB30001 1 Protein Structure and Function Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BCMB30002 1 Functional Genomics and Bioinformatics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BCMB30003 1 Molecular Aspects of Cell Biology Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BCMB30004 1 Cell Signalling and Neurochemistry Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BCMB30010 1 Advanced Techniques in Molecular Science Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BCMB30010 1 Advanced Techniques in Molecular Science Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BCMB30011 1 Metabolism and Nutrition Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,744.00
BCMB40001 2 Biochemistry Research Project Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BCMB40002 2 Advanced Studies in Biochemistry A Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BCMB40006 1 Biochemistry Research Project Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BCMB40007 1 Advanced Studies in Biochemistry B Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BCMB40009 1 Biochemistry Research Project Part 1 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BCMB40010 1 Biochemistry Research Project Part 2 Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BCMB40011 1 Biochemistry Research Project Part 1 Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BCMB40012 1 Biochemistry Research Project Part 2 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BCMB70001 1 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
BCMB70001 1 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
BCMB70002 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
BCMB70002 1 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
BCMB80001 1 PhD Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
BCMB80001 1 PhD Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
BCMB90005 1 DMedSc‐Thesis Biochemistry & Mol.Biology RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
BCMB90005 1 DMedSc‐Thesis Biochemistry & Mol.Biology RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
BIEN90001 2 Biochemical Engineering Research Project January January Parkville 0.25 13‐Jan‐17 $9,744.00
BIEN90001 2 Biochemical Engineering Research Project June June Parkville 0.25 31‐Aug‐17 $9,744.00
BIEN90001 2 Biochemical Engineering Research Project Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,744.00
BIEN90002 2 Biochemical Engineering Design Project Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,744.00
BIEN90003 2 Biochemical Engineering Minor Thesis Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,744.00
BIEN90003 2 Biochemical Engineering Minor Thesis Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,744.00
BIEN90003 2 Biochemical Engineering Minor Thesis Summer Term Summer Term Parkville 0.25 13‐Jan‐17 $9,744.00
BIEN90004 1 Biochemical & Pharmaceutical Engineering Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BINF40001 1 Trends in Health Informatics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BINF40002 1 Health Informatics Research Project 1 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BINF40003 1 Health Informatics Research Project 2 Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BINF40004 1 Health Informatics Research Project Pt 1 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BINF40005 1 Health Informatics Research Project Pt 2 Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BINF40006 1 Health Informatics Research Project Pt 1 Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BINF40007 1 Health Informatics Research Project Pt 2 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BINF90001 2 Statistics for Bioinformatics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
BINF90002 3 Elements of Bioinformatics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BINF90003 2 Bioinformatics Research Project‐50pts Semester 1 Semester 1 Parkville 0.5 31‐Mar‐17 $19,488.00
BINF90003 2 Bioinformatics Research Project‐50pts Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,488.00
BINF90004 1 Bioinformatics Case Studies Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
BINF90005 2 Bioinformatics Research Project‐37.5pts Semester 1 Semester 1 Parkville 0.375 31‐Mar‐17 $14,616.00
BINF90005 2 Bioinformatics Research Project‐37.5pts Semester 2 Semester 2 Parkville 0.375 31‐Aug‐17 $14,616.00
BINF90006 2 Bioinformatics Research Project‐25pts Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,744.00
BINF90006 2 Bioinformatics Research Project‐25pts Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,744.00
BINF90007 3 Bioinformatics Research Project‐12.5pts Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BINF90007 3 Bioinformatics Research Project‐12.5pts Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BINF90008 1 Bioinformatics Research Project Pt 1 February February (Commencing) Parkville 0.125 24‐Mar‐17 $4,412.00
BINF90008 1 Bioinformatics Research Project Pt 1 July July (Commencing) Parkville 0.125 25‐Aug‐17 $4,412.00
BINF90009 1 Bioinformatics Research Project Pt 2 January January (Continuing) Parkville 0.125 10‐Feb‐17 $4,412.00
BINF90009 1 Bioinformatics Research Project Pt 2 July July (Continuing) Parkville 0.125 11‐Aug‐17 $4,412.00
BINF90010 1 Bioinformatics Research Project Pt 3 January January (Completing) Parkville 0.25 3‐Feb‐17 $8,824.00
BINF90010 1 Bioinformatics Research Project Pt 3 July July (Completing) Parkville 0.25 28‐Jul‐17 $8,824.00
BINF90011 1 Bioinformatics Research Project Pt 3 January January (Continuing) Parkville 0.125 10‐Feb‐17 $4,412.00
BINF90011 1 Bioinformatics Research Project Pt 3 July July (Continuing) Parkville 0.125 11‐Aug‐17 $4,412.00
BINF90012 1 Bioinformatics Research Project Pt 4 January January (Completing) Parkville 0.125 3‐Feb‐17 $4,412.00
BINF90012 1 Bioinformatics Research Project Pt 4 July July (Completing) Parkville 0.125 28‐Jul‐17 $4,412.00
BINF90013 1 Bioinformatics Research Project Pt 1 February February (Commencing) Parkville 0.25 24‐Mar‐17 $8,824.00
BINF90013 1 Bioinformatics Research Project Pt 1 July July (Commencing) Parkville 0.25 25‐Aug‐17 $8,824.00
BINF90014 1 Bioinformatics Research Project Pt 2 July July (Completing) Parkville 0.25 28‐Jul‐17 $8,824.00
BIOL10001 3 Biology of Australian Flora & Fauna Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BIOL10002 2 Biomolecules and Cells Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BIOL10003 2 Genes and Environment Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BIOL10004 2 Biology of Cells and Organisms Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BIOL10005 2 Genetics & The Evolution of Life Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BIOL10006 2 Systems Biology Semester 1 Semester 1 Dookie 0.125 31‐Mar‐17 $4,896.00
BIOL20001 1 Evolution: Making Sense Of Life Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BIOL30001 3 Reproductive Physiology Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BIOL30002 2 Experimental Reproductive Physiology Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BIOL30003 1 Case Studies In Computational Biology Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BIOL40001 1 BioSciences Honours Research Project Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BIOL40001 1 BioSciences Honours Research Project Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,920.00
BIOL40002 1 BioSciences Honours Research Project Semester 1 Semester 1 Parkville 0.375 31‐Mar‐17 $14,880.00
BIOL40002 1 BioSciences Honours Research Project Semester 2 Semester 2 Parkville 0.375 31‐Aug‐17 $14,880.00
BIOL40003 1 BioSciences Honours Research Project Semester 1 Semester 1 Parkville 0.5 31‐Mar‐17 $19,840.00
BIOL40003 1 BioSciences Honours Research Project Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BIOL40004 1 BioSciences Honours Research Project Pt1 February February (Commencing) Parkville 0.25 24‐Mar‐17 $9,920.00
BIOL40004 1 BioSciences Honours Research Project Pt1 July July (Commencing) Parkville 0.25 25‐Aug‐17 $9,920.00
BIOL40005 1 BioSciences Honours Research Project Pt1 February February (Commencing) Parkville 0.375 24‐Mar‐17 $14,880.00
BIOL40005 1 BioSciences Honours Research Project Pt1 July July (Commencing) Parkville 0.375 25‐Aug‐17 $14,880.00
BIOL40006 1 BioSciences Honours Research Project Pt1 February February (Commencing) Parkville 0.5 24‐Mar‐17 $19,840.00
BIOL40006 1 BioSciences Honours Research Project Pt1 July July (Commencing) Parkville 0.5 25‐Aug‐17 $19,840.00
BIOL40007 1 BioSciences Honours Research Project Pt2 January January (Completing) Parkville 0.25 3‐Feb‐17 $9,920.00
BIOL40007 1 BioSciences Honours Research Project Pt2 July July (Completing) Parkville 0.25 28‐Jul‐17 $9,920.00
BIOL40008 1 BioSciences Honours Research Project Pt2 January January (Completing) Parkville 0.375 3‐Feb‐17 $14,880.00
BIOL40008 1 BioSciences Honours Research Project Pt2 July July (Completing) Parkville 0.375 28‐Jul‐17 $14,880.00
BIOL40009 1 BioSciences Honours Research Project Pt2 January January (Completing) Parkville 0.5 3‐Feb‐17 $19,840.00
BIOL40009 1 BioSciences Honours Research Project Pt2 July July (Completing) Parkville 0.5 28‐Jul‐17 $19,840.00
BIOL40010 1 Research Project ‐ RMH Part 1 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BIOL40011 1 Research Project ‐ RMH Part 2 Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BIOL40012 1 Research Project ‐ RMH Part 1 Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BIOL40013 1 Research Project ‐ RMH Part 2 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BIOL70004 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
BIOL70004 1 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
BIOL80001 1 PhD Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
BIOL80001 1 PhD Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
BIOL90001 2 Microscopy for Biological Sciences Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
BIOL90002 2 Biometry June June Parkville 0.125 14‐Jul‐17 $4,412.00
BIOL90004 1 BioSciences Research Project Part 1 February February (Commencing) Parkville 0.125 24‐Mar‐17 $4,412.00
BIOL90004 1 BioSciences Research Project Part 1 July July (Commencing) Parkville 0.125 25‐Aug‐17 $4,412.00
BIOL90005 1 BioSciences Research Project Part 1 February February (Commencing) Parkville 0.25 24‐Mar‐17 $8,824.00
BIOL90005 1 BioSciences Research Project Part 1 July July (Commencing) Parkville 0.25 25‐Aug‐17 $8,824.00
BIOL90006 1 BioSciences Research Project Part 1 February February (Commencing) Parkville 0.375 24‐Mar‐17 $13,236.00
BIOL90006 1 BioSciences Research Project Part 1 July July (Commencing) Parkville 0.375 25‐Aug‐17 $13,236.00
BIOL90007 1 BioSciences Research Project Part 1 February February (Commencing) Parkville 0.5 24‐Mar‐17 $17,648.00
BIOL90007 1 BioSciences Research Project Part 1 July July (Commencing) Parkville 0.5 25‐Aug‐17 $17,648.00
BIOL90008 1 BioSciences Research Project Part 2 January January (Continuing) Parkville 0.125 10‐Feb‐17 $4,412.00
BIOL90008 1 BioSciences Research Project Part 2 July July (Continuing) Parkville 0.125 11‐Aug‐17 $4,412.00
BIOL90009 1 BioSciences Research Project Part 2 January January (Continuing) Parkville 0.25 10‐Feb‐17 $8,824.00
BIOL90009 1 BioSciences Research Project Part 2 July July (Continuing) Parkville 0.25 11‐Aug‐17 $8,824.00
BIOL90010 1 BioSciences Research Project Part 2 January January (Continuing) Parkville 0.375 10‐Feb‐17 $13,236.00
BIOL90010 1 BioSciences Research Project Part 2 July July (Continuing) Parkville 0.375 11‐Aug‐17 $13,236.00
BIOL90011 1 BioSciences Research Project Part 2 January January (Continuing) Parkville 0.5 10‐Feb‐17 $17,648.00
BIOL90011 1 BioSciences Research Project Part 2 July July (Continuing) Parkville 0.5 11‐Aug‐17 $17,648.00
BIOL90012 1 BioSciences Research Project Part 3 January January (Continuing) Parkville 0.125 10‐Feb‐17 $4,412.00
BIOL90012 1 BioSciences Research Project Part 3 July July (Continuing) Parkville 0.125 11‐Aug‐17 $4,412.00
BIOL90013 1 BioSciences Research Project Part 3 January January (Continuing) Parkville 0.25 10‐Feb‐17 $8,824.00
BIOL90013 1 BioSciences Research Project Part 3 July July (Continuing) Parkville 0.25 11‐Aug‐17 $8,824.00
BIOL90014 1 BioSciences Research Project Part 3 January January (Continuing) Parkville 0.375 10‐Feb‐17 $13,236.00
BIOL90014 1 BioSciences Research Project Part 3 July July (Continuing) Parkville 0.375 11‐Aug‐17 $13,236.00
BIOL90015 1 BioSciences Research Project Part 3 January January (Continuing) Parkville 0.5 10‐Feb‐17 $17,648.00
BIOL90015 1 BioSciences Research Project Part 3 July July (Continuing) Parkville 0.5 11‐Aug‐17 $17,648.00
BIOL90016 1 BioSciences Research Project Part 4 January January (Completing) Parkville 0.125 3‐Feb‐17 $4,412.00
BIOL90016 1 BioSciences Research Project Part 4 July July (Completing) Parkville 0.125 28‐Jul‐17 $4,412.00
BIOL90017 1 BioSciences Research Project Part 4 January January (Completing) Parkville 0.25 3‐Feb‐17 $8,824.00
BIOL90017 1 BioSciences Research Project Part 4 July July (Completing) Parkville 0.25 28‐Jul‐17 $8,824.00
BIOL90018 1 BioSciences Research Project Part 4 January January (Completing) Parkville 0.375 3‐Feb‐17 $13,236.00
BIOL90018 1 BioSciences Research Project Part 4 July July (Completing) Parkville 0.375 28‐Jul‐17 $13,236.00
BIOL90019 1 BioSciences Research Project Part 4 January January (Completing) Parkville 0.5 3‐Feb‐17 $17,648.00
BIOL90019 1 BioSciences Research Project Part 4 July July (Completing) Parkville 0.5 28‐Jul‐17 $17,648.00
BIOM20001 3 Molecular and Cellular Biomedicine Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BIOM20002 2 Human Structure and Function Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,920.00
BIOM30001 1 Frontiers in Biomedicine Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $9,840.00
BIOM30002 1 Biomedicine: Molecule to Malady Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $9,840.00
BIOM30003 1 Biomedical Science Research Project Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BIOM30003 1 Biomedical Science Research Project Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BIOM30003 1 Biomedical Science Research Project Summer Term Summer Term Parkville 0.125 13‐Jan‐17 $4,960.00
BIOM40001 2 Introduction To Biomedical Research February February Parkville 0.125 17‐Mar‐17 $4,960.00
BIOM90012 2 Project in Biomedical Science Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $7,456.00
BIOM90012 2 Project in Biomedical Science Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $7,456.00
BIOM90013 2 Project in Biomedical Science Semester 1 Semester 1 Parkville 0.5 31‐Mar‐17 $29,824.00
BIOM90013 2 Project in Biomedical Science Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $29,824.00
BIOM90014 2 Project in Biomedical Science Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $14,912.00
BIOM90014 2 Project in Biomedical Science Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $14,912.00
BIOM90015 2 Project in Biomedical Science Semester 1 Semester 1 Parkville 0.375 31‐Mar‐17 $22,368.00
BIOM90015 2 Project in Biomedical Science Semester 2 Semester 2 Parkville 0.375 31‐Aug‐17 $22,368.00
BISY90009 1 Managing Information Technology Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $5,052.00
BISY90009 1 Managing Information Technology Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $5,052.00
BLAW10001 1 Principles of Business Law Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,908.00
BLAW10001 1 Principles of Business Law Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,908.00
BLAW10002 1 Free Speech and Media Law Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,928.00
BLAW20001 1 Corporate Law Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,908.00
BLAW20002 1 Privacy Law and Social Networks February February Parkville 0.125 10‐Feb‐17 $4,928.00
BLAW30002 2 Taxation Law I Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,908.00
BLAW30003 1 Taxation Law II Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,928.00
BLAW30004 1 Competition and Consumer Law Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,928.00
BMEN20001 2 Biomechanical Physics & Computation Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN30005 3 Introduction to Biomechanics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN30006 3 Circuits and Systems Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN30007 2 Biotransport Processes Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMEN30008 3 Biosystems Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMEN80001 1 PhD Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $38,976.00
BMEN80001 1 PhD Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $38,976.00
BMEN90002 3 Neural Information Processing Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMEN90003 2 Clinical Engineering Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMEN90004 2 Advanced Neural Information Processing Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN90011 3 Tissue Engineering & Stem Cells Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMEN90012 3 Soft Matter Engineering Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN90017 3 Biomedical Engineering Design Project Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,744.00
BMEN90018 3 Biomedical Engineering Capstone Project Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,744.00
BMEN90018 3 Biomedical Engineering Capstone Project Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,744.00
BMEN90018 3 Biomedical Engineering Capstone Project Year Long Year Long Parkville 0.25 31‐May‐17 $9,744.00
BMEN90019 2 Biomedical Engineering Management Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN90021 2 Medical Imaging Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN90022 2 Computational Biomechanics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMEN90023 2 Biomaterials Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMEN90025 3 Biomedical Eng Capstone Project A Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN90025 3 Biomedical Eng Capstone Project A Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMEN90026 2 Clinical Trials and Regulations Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN90027 2 Systems Biology Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN90028 2 Anatomy and Physiology for Engineers Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMEN90029 1 Soft Tissue and Cellular Biomechanics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
BMEN90030 2 BioDesign Innovation Year Long Year Long Parkville 0.5 31‐May‐17 $19,488.00
BMEN90031 1 Biomed Eng Capstone Proj Part 1 Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
BMSC40003 4 Medical Biology Research Project Part 1 Semester 1 Semester 1 Parkville 0.3125 31‐Mar‐17 $12,400.00
BMSC40004 2 Approaches To Medical Research Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BMSC40007 1 Postgraduate Lectures in Medical Biology Year Long Year Long Parkville 0.125 31‐May‐17 $9,840.00
BMSC40008 3 Medical Biology Research Project Part 2 Semester 2 Semester 2 Parkville 0.4375 31‐Aug‐17 $17,360.00
BMSC70003 3 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
BMSC70003 3 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
BMSC70004 1 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
BMSC70004 1 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
BMSC80002 2 PhD Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
BMSC80002 2 PhD Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
BMSC90001 2 M.S.‐ Clinical & Biomedical Sciences RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
BMSC90001 2 M.S.‐ Clinical & Biomedical Sciences RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
BMSC90011 1 DMedSc‐Thesis Medical Biology RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
BMSC90011 1 DMedSc‐Thesis Medical Biology RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
BOTA20001 3 Green Planet: Plants and the Environment Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BOTA20002 2 Plant Biodiversity Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BOTA20004 2 Flora of Victoria Summer Term Summer Term Parkville 0.125 17‐Feb‐17 $4,960.00
BOTA30001 2 Marine Botany November November Parkville 0.125 1‐Dec‐17 $4,960.00
BOTA30002 3 Plant Evolution Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BOTA30003 6 Environmental Plant Physiology Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BOTA30004 2 Vegetation Management and Conservation Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BOTA30005 2 Plant Molecular Biology & Biotechnology Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BOTA30006 2 Field Botany Summer Term Summer Term Parkville 0.125 3‐Feb‐17 $4,960.00
BOTA40001 2 Botany Research Project Semester 1 Semester 1 Parkville 0.375 31‐Mar‐17 $14,880.00
BOTA40001 2 Botany Research Project Semester 2 Semester 2 Parkville 0.375 31‐Aug‐17 $14,880.00
BOTA40002 2 Botany Advanced Coursework Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
BOTA40002 2 Botany Advanced Coursework Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
BOTA40006 3 Botany Research Project Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
BOTA40006 3 Botany Research Project Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,920.00
BOTA40007 3 Botany Research Project Semester 1 Semester 1 Parkville 0.5 31‐Mar‐17 $19,840.00
BOTA40007 3 Botany Research Project Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
BOTA70001 2 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
BOTA70001 2 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
BOTA90005 2 Flora of Victoria Summer Term Summer Term Parkville 0.125 17‐Feb‐17 $4,412.00
BOTA90006 2 Botany Research Project Major Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
BOTA90006 2 Botany Research Project Major Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
BOTA90008 2 Botany Research Project Major Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $8,824.00
BOTA90008 2 Botany Research Project Major Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $8,824.00
BOTA90009 2 Botany Research Project Major Semester 1 Semester 1 Parkville 0.375 31‐Mar‐17 $13,236.00
BOTA90009 2 Botany Research Project Major Semester 2 Semester 2 Parkville 0.375 31‐Aug‐17 $13,236.00
BOTA90010 2 Botany Research Project Major Semester 1 Semester 1 Parkville 0.5 31‐Mar‐17 $17,648.00
BOTA90010 2 Botany Research Project Major Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $17,648.00
BOTA90011 2 Botany Research Project Minor Semester 1 Semester 1 Parkville 0.5 31‐Mar‐17 $17,648.00
